Address,Listing Price,Predicted Selling Price
"309 Leland Ct, Lodi, CA 95242-3328",549000,339000
"520 N Lower Sacramento Rd, Lodi, CA 95242-2115",739950,489000
"2581 Central Park Dr, Lodi, CA 95242-3232",367000,230000
"2407 Corbin Lane, Lodi, CA 95242",318000,178000
"717 Peach St, Lodi, CA 95242-3638",219000,125000
"721 Rutledge Dr, Lodi, CA 95242",315000,195000
"900 Evert Ct, Lodi, CA 95242-3704",500000,305000
"870 Rutledge Dr., Lodi, CA 95242",185000,75000
"647 El Capitan, Lodi, CA 95242",319900,178000
"1203 Vienna Drive, Lodi, CA 95242",730000,455000
"2351 Saint Anton Dr, Lodi, CA 95242-9100",699000,433000
"303 Rainier Dr, Lodi, CA 95242-2627",335000,156750
"818 Cheney Ct, Lodi, CA 95242-3507",664999,500000
"1833 W Kettleman Ln, Lodi, CA 95242-4216",1150000,272000
"500 Gerard Dr, Lodi, CA 95242",335000,156750
"1363 Lakeshore Dr, Lodi, CA 95242-3937",599000,362000
"1333 Robinson Ln, Lodi, CA 95242-3929",265000,150000
"1123 Dover Dr, Lodi, CA 95242-3814",309500,185000
"220 S Mills Ave, Lodi, CA 95242-3140",274000,156000
"1125 Havlicek Ln, Lodi, CA 95242-3916",544900,339000
"1701 Holly Dr, Lodi, CA 95242-2430",307000,180000
"300 Westwood Ave, Lodi, CA 95242-2451",249999,140000
"137 S Ham Ln, Lodi, CA 95242",249000,145000
"418 N ham Ln, Lodi, CA 95242",269950,159900
"1911 Royal Crest Dr, Lodi, CA 95242-3849",349000,214000
"955 Virginia Ave, Lodi, CA 95242-3583",439950,260000
"20 S Ham Ln, Lodi, CA 95242-3001",299000,152000
"1701 Normandy Ln, Lodi, CA 95242",399950,230000
"621 S Sacramento St, Lodi, CA 95240",169000,79000
"701 W Tokay St, Lodi, CA 95240-3925",420000,245000
"241 S Pleasant Ave, Lodi, CA 95240-3523",199500,100000
"18 W Vine St, Lodi, CA 95240",239000,139000
"301 Olive Ct, Lodi, CA 95240-1120",219000,110000
"216 Hilborn St, Lodi, CA 95240-4118",229900,122000
"340 Eden St, Lodi, CA 95240-4112",184900,120000
"310 Palm Ave, Lodi, CA 95240-1131",299999,180000
"1310 S Church St, Lodi, CA 95240-5716",265000,150000
"17 Sierra Vista Pl, Lodi, CA 95240-4740",249900,143500
"811 S California St, Lodi, CA 95240-4622",299000,170000
"420 S School St, Lodi, CA 95240-4003",215000,80000
"708 S Church St, Lodi, CA 95240-4727",312000,150000
"651 Grant Ave, Lodi, CA 95240-0907",338000,200000
"1035 S Central Ave, Lodi, CA 95240",228000,105000
"437 Eden St, Lodi, CA 95240",169900,80000
"701 N Roper Ave, Lodi, CA 95240-0925",270000,170000
"1005 S Pleasant Ave, Lodi, CA 95240",269950,107500
"1300 S school, Lodi, CA 95240",249999,77500
"426-1/2 Forrest Ave, Lodi, CA 95240-1055",199500,100000
"500 S Orange, Lodi, CA 95240",282500,170000
"323 E Vine, Lodi, CA 95240",189900,109000
"1121 S School St, Lodi, CA 95240-5706",349000,176500
"719 W Vine, Lodi, CA 95240",294888,157000
"216 N Hutchins St, Lodi, CA 95240-1920",285000,107500
"612 S Central ave, Lodi, CA 95240",185000,120000
"910 York St, Lodi, CA 95240-5103",274900,155000
"1235 S Pleasant Ave, Lodi, CA 95240-5725",250000,107500
"204 Cherry St, Lodi, CA 95240-4804",319950,175000
"1209 S Fairmont Ave, Lodi, CA 95240-5518",289000,165000
"741 S Church St, Lodi, CA 95240-4726",439000,185000
"616 Alicante Dr, Lodi, CA 95240-5607",219950,118000
"736 Golden Ave, Lodi, CA 95240",359000,200000
"1035 Woodrow St, Lodi, CA 95240-4322",235000,130000
